time,distance,angle
2023-07-25 17:01:23.651569,11.05,217.52288019327193
2023-07-25 17:01:24.152155,10.82,220.22513113716775
2023-07-25 17:01:24.651672,10.64,220.6273239722747
2023-07-25 17:01:25.152230,10.36,218.31099158505435
2023-07-25 17:01:25.651637,10.10,214.1157339529376
2023-07-25 17:01:26.151977,9.87,211.65818296063173
2023-07-25 17:01:26.651406,9.54,214.24309333772771
2023-07-25 17:01:27.151954,9.36,211.99125211119457
2023-07-25 17:01:27.651515,9.06,211.68215495153493
2023-07-25 17:01:28.152037,8.87,212.6135627435746
2023-07-25 17:01:28.651486,8.68,215.65141931309762
2023-07-25 17:01:29.152135,8.28,216.34094838553872
2023-07-25 17:01:29.651646,8.18,216.29775956534428
2023-07-25 17:01:30.152400,8.17,215.09434733795155
2023-07-25 17:01:30.651650,7.92,211.92502293976148
2023-07-25 17:01:31.152093,7.61,213.12008138322017
2023-07-25 17:01:31.651569,7.29,215.93924031810542
2023-07-25 17:01:32.151986,7.17,217.80025462136965
2023-07-25 17:01:32.652548,6.97,221.00666014161982
2023-07-25 17:01:33.152115,6.76,224.40182071741634
2023-07-25 17:01:33.651652,6.57,229.095623033986
2023-07-25 17:01:34.152102,6.35,225.0467303670901
2023-07-25 17:01:34.651539,6.24,224.11075091886704
2023-07-25 17:01:35.152123,6.13,216.4037236134331
2023-07-25 17:01:35.651625,6.05,212.91600181469846
2023-07-25 17:01:36.151270,5.71,208.90548183575294
2023-07-25 17:01:36.651590,5.56,203.10900982574128
2023-07-25 17:01:37.152046,5.52,198.6148815992192
2023-07-25 17:01:37.651592,5.25,192.17327898330666
2023-07-25 17:01:38.151246,5.37,189.98328039328226
2023-07-25 17:01:38.651588,5.37,186.8068375055061
2023-07-25 17:01:39.151300,5.28,183.7450195310533
2023-07-25 17:01:39.651676,5.10,183.2259286481612
2023-07-25 17:01:40.151287,5.10,186.35537611454237
2023-07-25 17:01:40.651683,4.45,188.94085543939167
2023-07-25 17:01:41.151358,4.38,187.39091727499957
2023-07-25 17:01:41.651750,4.10,186.28223610697611
2023-07-25 17:01:42.151259,3.87,186.94764187033795
2023-07-25 17:01:42.651723,3.66,187.48954354608745
2023-07-25 17:01:43.151272,3.34,185.72994721188522
2023-07-25 17:01:43.651782,3.21,185.78117405877782
2023-07-25 17:01:44.151483,2.93,186.7319122821071
2023-07-25 17:01:44.651826,2.67,187.22293736265874
2023-07-25 17:01:45.151452,2.41,186.19327717026653
2023-07-25 17:01:45.651913,2.17,187.31829669210154
2023-07-25 17:01:46.151406,1.94,188.64635918565463
2023-07-25 17:01:46.651909,1.79,186.68041590036705
2023-07-25 17:01:47.151917,1.71,184.3347617303878
2023-07-25 17:01:47.651976,1.69,182.02522772564788
2023-07-25 17:01:48.151460,1.62,174.08829208264115
2023-07-25 17:01:48.651873,1.53,162.27792096619297
2023-07-25 17:01:49.151468,1.54,153.59018890939103
2023-07-25 17:01:49.651896,1.60,141.43624524119952
2023-07-25 17:01:50.151393,1.52,130.6372401048422
2023-07-25 17:01:50.651797,1.59,119.45967840089486
2023-07-25 17:01:51.151407,1.70,114.84133994373943
2023-07-25 17:01:51.651809,1.83,111.8716791480848
2023-07-25 17:01:52.151340,1.64,107.31248297065983
2023-07-25 17:01:52.651797,1.71,102.97016680970987
2023-07-25 17:01:53.151421,1.87,100.05369463737316
2023-07-25 17:01:53.651973,2.05,99.03119357635745
2023-07-25 17:01:54.151630,2.41,97.49057925435504
2023-07-25 17:01:54.651245,2.60,94.88343422650759
2023-07-25 17:01:55.151715,2.90,94.2522700965059
2023-07-25 17:01:55.651318,3.17,95.70564385279587
2023-07-25 17:01:56.151844,3.41,91.23720429015219
2023-07-25 17:01:56.651309,3.73,91.85070744545804
2023-07-25 17:01:57.151879,3.98,92.69136979961533
2023-07-25 17:01:57.651571,4.25,90.939416716305
2023-07-25 17:01:58.152093,4.58,92.39967712168753
2023-07-25 17:01:58.651620,4.88,91.82083528983176
2023-07-25 17:01:59.151395,5.16,87.3887760560182
2023-07-25 17:01:59.651664,5.49,86.87866090435084
2023-07-25 17:02:00.151441,5.77,89.98359979285487
2023-07-25 17:02:00.651774,6.04,88.3785655501926
2023-07-25 17:02:01.151388,6.35,83.79953109828313
2023-07-25 17:02:01.651871,6.61,84.923039726849
2023-07-25 17:02:02.152665,6.92,87.68984090593104
2023-07-25 17:02:02.653132,7.16,88.32814485150993
2023-07-25 17:02:03.151756,7.47,90.60979732326277
2023-07-25 17:02:03.651302,7.78,90.73863437631172
2023-07-25 17:02:04.151752,7.98,90.83258148667734
2023-07-25 17:02:04.651620,8.25,88.80317139008227
2023-07-25 17:02:05.151843,8.58,91.55298345519846
2023-07-25 17:02:05.651290,8.98,93.02722458745573
2023-07-25 17:02:06.151899,9.29,92.09356968338781
2023-07-25 17:02:06.652656,9.60,93.13004039201702
2023-07-25 17:02:07.152105,9.92,94.97193206360407
2023-07-25 17:02:07.651656,10.25,91.70983148246589
2023-07-25 17:02:08.152117,10.49,90.80098065738146
2023-07-25 17:02:08.651567,10.86,92.56178588340526
2023-07-25 17:02:09.152296,11.14,92.42535861919818
2023-07-25 17:02:09.651853,11.43,91.12244219659536
2023-07-25 17:02:10.151383,11.80,94.10381685120194
2023-07-25 17:02:10.651846,12.10,93.4308784805482
2023-07-25 17:02:11.151407,12.40,92.14113004183483
2023-07-25 17:02:11.651957,12.62,93.71944146575383
2023-07-25 17:02:12.151488,12.95,96.58554564253376
2023-07-25 17:02:12.653079,13.22,96.30533861777883
2023-07-25 17:02:13.151702,13.53,95.99124614127636
2023-07-25 17:02:13.651449,13.80,95.27245102863985
2023-07-25 17:02:14.151995,14.14,95.5004230191656
2023-07-25 17:02:14.651498,14.44,92.85583309839711
2023-07-25 17:02:15.152170,14.79,93.91160765849625
2023-07-25 17:02:15.651784,15.06,92.02992725998789
2023-07-25 17:02:16.151530,15.33,91.27566678445169
2023-07-25 17:02:16.652061,15.55,91.67411778926493
2023-07-25 17:02:17.151712,15.86,94.72410683957514
2023-07-25 17:02:17.652396,16.20,91.82856344273668
2023-07-25 17:02:18.152104,16.42,94.27207624904219
2023-07-25 17:02:18.651748,16.73,94.14866421873526
2023-07-25 17:02:19.151422,16.97,95.24437947534821
2023-07-25 17:02:19.652113,17.24,91.0415311492268
2023-07-25 17:02:20.151759,17.41,93.33358074694354
2023-07-25 17:02:20.651387,17.61,88.64861575985262
2023-07-25 17:02:21.152165,17.61,75.22499308591529
2023-07-25 17:02:21.651709,17.59,48.774370731542234
2023-07-25 17:02:22.151436,17.66,200.85280640256838
2023-07-25 17:02:22.651978,17.67,274.91664222995644
2023-07-25 17:02:23.151663,17.93,310.623144484665
2023-07-25 17:02:23.651387,18.28,328.1414367976865
2023-07-25 17:02:24.151949,17.97,337.6815073862585
2023-07-25 17:02:24.651551,18.05,342.3953135654334
2023-07-25 17:02:25.651933,18.14,347.61201123872365
2023-07-25 17:02:26.151430,18.35,350.38733518358316
2023-07-25 17:02:26.652115,18.09,350.6076563085081
2023-07-25 17:02:27.151668,18.01,349.9877576701567
2023-07-25 17:02:27.652492,18.14,348.6679849979213
2023-07-25 17:02:28.152145,18.25,349.3388226896153
2023-07-25 17:02:28.651723,17.95,351.25528886766324
2023-07-25 17:02:29.151473,18.34,347.5427469663622
2023-07-25 17:02:29.652021,18.52,344.0948658531671
2023-07-25 17:02:30.652350,18.44,346.0820316326501
2023-07-25 17:02:31.151892,18.53,343.98358789291296
2023-07-25 17:02:31.652042,18.67,344.0764184558684
2023-07-25 17:02:32.152042,18.76,344.16768426938927
2023-07-25 17:02:32.652377,18.89,347.047657532079
2023-07-25 17:02:33.151400,18.91,349.16148132601745
2023-07-25 17:02:33.651860,19.01,351.39556059392794
2023-07-25 17:02:34.151535,19.21,350.2629267016267
2023-07-25 17:02:34.651960,19.27,349.82986804258934
2023-07-25 17:02:35.151557,19.42,347.01081825677716
2023-07-25 17:02:35.651998,19.49,341.95942352208294
2023-07-25 17:02:36.151582,19.58,341.9388695630247
2023-07-25 17:02:36.652029,19.72,341.6337572967142
2023-07-25 17:02:37.151504,19.83,340.8826687804571
2023-07-25 17:02:37.652067,20.12,338.88349473899655
2023-07-25 17:02:38.151537,20.16,338.2825772415685
2023-07-25 17:02:38.652075,20.33,337.2886424619799
2023-07-25 17:02:39.151658,20.32,338.15179463953655
2023-07-25 17:02:39.652117,20.36,341.39974899496497
2023-07-25 17:02:40.151642,20.51,341.06711436252425
2023-07-25 17:02:40.652018,20.75,339.8212724193829
2023-07-25 17:02:41.151565,20.69,339.39312196583444
2023-07-25 17:02:41.651991,20.94,341.0457704864864
2023-07-25 17:02:42.151477,21.07,340.341188230433
2023-07-25 17:02:42.651953,21.18,344.01731567523524
2023-07-25 17:02:43.151462,21.34,341.02689761664635
2023-07-25 17:02:43.651897,21.52,340.20380345563365
2023-07-25 17:02:44.151468,21.66,342.9938110660675
2023-07-25 17:02:44.651866,21.87,343.8414507104616
2023-07-25 17:02:45.152352,22.06,344.29677971331773
2023-07-25 17:02:45.651821,22.24,347.0017960979149
2023-07-25 17:02:46.152850,22.34,343.8750999612655
2023-07-25 17:02:46.651791,22.59,341.0018517084959
2023-07-25 17:02:47.153320,22.75,344.98238151631386
2023-07-25 17:02:48.151464,23.18,350.4382363586744
2023-07-25 17:02:48.652081,23.39,351.1810785861388
2023-07-25 17:02:49.151780,23.51,352.74674398093657
2023-07-25 17:02:49.653124,23.69,350.64994784242526
2023-07-25 17:02:50.151546,23.98,351.7550794247223
2023-07-25 17:02:50.651884,24.14,350.8302889430367
2023-07-25 17:02:51.152486,24.38,347.81243181679156
2023-07-25 17:02:51.651801,24.54,351.7979209732158
2023-07-25 17:02:52.152231,24.74,352.9200906502481
2023-07-25 17:02:52.651818,24.92,355.96032439173496
2023-07-25 17:02:53.152241,25.13,354.0750273939831
2023-07-25 17:02:53.651651,25.43,354.5835175469353
2023-07-25 17:02:54.152191,25.54,353.5224461124694
2023-07-25 17:02:54.651686,25.72,355.90573015457267
2023-07-25 17:02:55.152190,25.94,349.98807304647744
2023-07-25 17:02:55.651739,26.17,352.1403924966845
2023-07-25 17:02:57.452020,26.89,178.24471812366323
2023-07-25 17:02:59.252360,27.60,267.1020060197171
2023-07-25 17:02:59.751759,27.85,135.29013983963821
2023-07-25 17:03:00.252288,28.02,69.38091020642646
2023-07-25 17:03:00.751719,28.19,210.95624167089653
2023-07-25 17:03:02.451721,28.16,246.7478102873136
2023-07-25 17:03:03.452648,28.11,238.4137606388324
2023-07-25 17:03:03.952346,28.15,236.52711847851015
2023-07-25 17:03:04.451536,28.21,232.7319464397737
2023-07-25 17:03:04.952044,28.18,232.01207075392182
2023-07-25 17:03:05.452478,28.09,231.04368066422904
2023-07-25 17:03:05.952136,27.86,229.9698898672774
2023-07-25 17:03:06.452328,27.51,229.04550057973776
2023-07-25 17:03:06.951812,27.16,229.4783859616794
2023-07-25 17:03:07.452278,26.85,228.78351660478276
2023-07-25 17:03:07.951693,26.50,225.28370248731488
2023-07-25 17:03:08.452130,26.16,226.02196381896005
2023-07-25 17:03:08.951777,25.79,223.8786317910603
2023-07-25 17:03:09.452103,25.50,221.95064327991292
2023-07-25 17:03:09.951617,25.11,224.35938171706493
2023-07-25 17:03:10.451938,24.85,223.12074575372287
2023-07-25 17:03:10.952403,24.45,222.60621514748908
2023-07-25 17:03:11.451869,24.06,225.40666979551378
2023-07-25 17:03:11.952343,23.75,223.31179750265522
2023-07-25 17:03:12.451754,23.48,223.62734237489101
2023-07-25 17:03:12.952331,23.07,223.4944904227606
2023-07-25 17:03:13.452719,22.75,221.49044500091992
2023-07-25 17:03:13.952552,22.48,223.06943837683332
2023-07-25 17:03:14.451748,22.07,224.78309744554545
2023-07-25 17:03:14.952233,21.73,222.38833623164942
2023-07-25 17:03:15.451643,21.38,219.50170775000265
2023-07-25 17:03:15.952088,21.12,222.06394744184877
2023-07-25 17:03:16.451536,20.79,220.72922084477125
2023-07-25 17:03:16.952053,20.48,218.60428855360504
2023-07-25 17:03:17.451595,20.12,219.55278139696316
2023-07-25 17:03:17.951927,19.89,221.74650357769815
2023-07-25 17:03:18.952235,19.58,224.7646867021321
2023-07-25 17:03:19.451576,19.24,221.01857658915242
2023-07-25 17:03:19.952020,19.30,218.31370917437857
2023-07-25 17:03:20.452449,19.17,222.83214358768856
2023-07-25 17:03:20.952118,19.26,226.16353187688287
2023-07-25 17:03:21.452368,19.45,229.36987443020712
