date,x,y,x_est,y_est,v_x,v_y,p_x,p_y
43.160556,0.005865794067382801,-0.004788403320312495,0.0010572526022652486,0.010203326701226634,0.03212550412664183,0.21761327668686553,0.2818148283040073,1.7729851021297063
43.685771,-0.030047230834960942,0.03591302490234375,0.00020894850852271605,0.010904500288529828,0.03245801803484308,0.22315635036307804,0.29877494560002954,1.888734511965225
44.210922,-0.010893617553710946,0.023942016601562505,-8.580988251003603e-05,0.011250629040203262,0.03249035122113767,0.22897374452413474,0.31582879613160314,2.007452797695281
44.736046,-0.006105214233398451,-0.016759411621093748,-0.00024148413296404674,0.010526231436893857,0.03240441624984677,0.23469152056472237,0.33286769606831995,2.129193677027543
45.261326,-0.010893617553710946,0.040701428222656245,-0.0005100253116383383,0.011286950683593748,0.0322070398093164,0.24042053471684718,0.3498372488876984,2.253977107226693
45.786463,0.03220201232910155,0.0023942016601562477,0.00029436905657657703,0.011068276527279711,0.032150415269909215,0.24629031319276543,0.3667354893316681,2.3817720444960484
46.312075,0.04656722229003905,0.004788403320312495,0.0014049175341796763,0.010917559570312499,0.032596997981679504,0.25206832283422925,0.3837514980186652,2.5127436841957596
46.837169,-0.03483563415527345,-0.023942016601562505,0.0005555296039581186,0.010100538253784179,0.03311170749645617,0.2575865613636524,0.4010031215158334,2.6465520450772617
47.362239,-0.008499415893554699,-0.04070142822265624,0.00034816443989293955,0.008937134441346611,0.03334895881225861,0.26258461676466854,0.4184513725451918,2.7831151853271803
47.887387,0.001077390747070299,0.004788403320312495,0.0003644904019939252,0.00884425240132346,0.03353608344471221,0.26725354663349576,0.4360136456307735,2.922236911243288
48.412526,0.005865794067382801,0.031124621582031248,0.0004849569056155794,0.009332143697251367,0.033759122399547585,0.2720261138689005,0.45368331418169794,3.063835302061573
48.937674,0.041778818969726544,-0.004788403320312495,0.001369825378417957,0.009029560546874999,0.03424614000299541,0.2768474199990978,0.47153972795178334,3.2079552213434295
49.46292,0.005865794067382801,-0.016759411621093748,0.0014641463998647719,0.008488533158735795,0.03499040617332335,0.28144807432234636,0.48972283741824657,3.3545764589486087
49.987961,0.06093243225097655,-0.004788403320312495,0.0026860974789972053,0.00821571939546768,0.03607993027152414,0.28583328305500216,0.5083802576769162,3.5034994445279892
50.513067,-0.018076222534179703,0.004788403320312495,0.0022680641901412944,0.00814671303153838,0.037380660280241465,0.2901292887760099,0.5276675561080539,3.654720145649937
51.038156,0.03220201232910155,0.023942016601562505,0.0028588657981470887,0.008458462444104645,0.038726707550551645,0.29448888626867487,0.5476491269415057,3.808208432107957
51.563208,-0.027653029174804694,0.040701428222656245,0.00226831299221899,0.00908251984627016,0.0400727252896713,0.2990938501854378,0.5683360268473181,3.96403933357831
52.088263,-0.042018239135742194,0.0526724365234375,0.00142742909105517,0.00991017649203916,0.04104295921943805,0.30407995527339327,0.5896311247122831,4.122389044790902
52.613398,0.041778818969726544,-0.0143652099609375,0.002179318343452773,0.009457840098505435,0.04198997387644821,0.30916536696953106,0.6114328743729371,4.283407335938921
53.138383,-0.0228646258544922,-0.023942016601562505,0.0017211974130025604,0.008846867110089559,0.04301383000864956,0.31397021532648317,0.6337457353642462,4.446975752774757
53.663381,0.0441730206298828,-0.0023942016601562477,0.0024838050157010077,0.008644931742959395,0.04411763894118183,0.3185617950336097,0.6566176588321081,4.613014772962273
54.188458,0.015442600708007799,0.026336218261718752,0.002712489645565245,0.008957130916819855,0.045481866347108664,0.32318301416121414,0.6801409785512378,4.7814974925510665
54.713489,-0.0372298358154297,0.05746083984375,0.0020198481635826738,0.009798235695899568,0.04672417837324605,0.32810658860523556,0.7043464944840243,4.952471108266105
55.238555,-0.04441244079589844,0.03591302490234375,0.0012283886926824277,0.01024337414828214,0.04757694773983189,0.33336817256245804,0.7291036520258688,5.126130061739741
55.763636,-0.07793126403808594,-0.031124621582031248,-9.830939777737699e-05,0.009550055784086943,0.04787363932295591,0.3385647495536172,0.7541632968786266,5.302539667078556
